"Target URL:","https://twitter.com/Catshealdeprsn","","","","","","","","","","",""
"Search Query:","from:Catshealdeprsn include:retweets include:nativeretweets","","","","","","","","","","",""
"Cats That Heal Your Depression","@Catshealdeprsn","","","","","","","","","","",""
"Tweet range:","<unspecified> (unknown) ~ <unspecified> (unknown)","","","","","","","","","","",""
"Image : on  /  GIF : off  /  Video : on  /  No media : off  /  include RTs : off","","","","","","","","","","","",""
"Tweet date","Action date","Display name","Username","Tweet URL","Media type","Media URL","Saved filename","Remarks","Tweet content","Replies","Retweets","Likes"
"2021/04/18 00:29:52","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1383638888812408834","Image","https://pbs.twimg.com/media/EzOsNbxUcAAG57i?format=jpg&name=orig","Catshealdeprsn-1383638888812408834-20210418_002952-img2.jpg","","https://t.co/N9sjPidYez",17,785,4645
"2021/04/17 22:09:37","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1383603592137908234","Image","https://pbs.twimg.com/media/EzOMEbOVIAcf14D?format=jpg&name=orig","Catshealdeprsn-1383603592137908234-20210417_220937-img1.jpg","","https://t.co/7jzMHsJCIf",24,843,5481
"2021/04/17 22:09:37","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1383603592137908234","Image","https://pbs.twimg.com/media/EzOMIcWVEAU4zCx?format=jpg&name=orig","Catshealdeprsn-1383603592137908234-20210417_220937-img2.jpg","","https://t.co/7jzMHsJCIf",24,843,5481
"2021/04/17 13:02:30","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1383465905699528715","Video","https://video.twimg.com/ext_tw_video/1383465762732396544/pu/vid/480x480/m7QB9EsOCW36vlmF.mp4?tag=12","Catshealdeprsn-1383465905699528715-20210417_130230-vid1.mp4","","https://t.co/s5eDzy2wAy",175,9276,30875
"2021/04/17 11:56:25","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1383449274759880709","Image","https://pbs.twimg.com/media/EzL_xuIVgAQW1vD?format=jpg&name=orig","Catshealdeprsn-1383449274759880709-20210417_115625-img1.jpg","","https://t.co/LkgbIX6dqW",14,1220,6840
"2021/04/17 11:56:25","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1383449274759880709","Image","https://pbs.twimg.com/media/EzL_yF-VgAE3wt-?format=jpg&name=orig","Catshealdeprsn-1383449274759880709-20210417_115625-img2.jpg","","https://t.co/LkgbIX6dqW",14,1220,6840
"2021/04/17 10:50:32","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1383432697964490766","Video","https://video.twimg.com/ext_tw_video/1383432570445070337/pu/vid/640x800/-1D596ocUfB8AOFs.mp4?tag=12","Catshealdeprsn-1383432697964490766-20210417_105032-vid1.mp4","","https://t.co/mmWW8tqKpD",14,1439,5370
"2021/04/17 08:17:56","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1383394294917058570","Image","https://pbs.twimg.com/media/EzLNuxLVUAUrrd3?format=jpg&name=orig","Catshealdeprsn-1383394294917058570-20210417_081756-img1.jpg","","https://t.co/pMVBhTpmZS",18,896,5644
"2021/04/17 08:17:56","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1383394294917058570","Image","https://pbs.twimg.com/media/EzLNwLIVoBM5y4L?format=jpg&name=orig","Catshealdeprsn-1383394294917058570-20210417_081756-img2.jpg","","https://t.co/pMVBhTpmZS",18,896,5644
"2021/04/17 00:25:17","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1383275345416130569","Video","https://video.twimg.com/ext_tw_video/1383275285936623619/pu/vid/576x1024/YUgfGGOW_Ja1iUOu.mp4?tag=12","Catshealdeprsn-1383275345416130569-20210417_002517-vid1.mp4","","https://t.co/zAiCf274yz",55,2265,9547
